NAME,APPROX_COST(FOR TWO PEOPLE) ($),RATE,DISH_LIKED,ONLINE_ORDER,BOOK_TABLE
Empire Restaurant,750,4.4 out of 5,"Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice",1,0
Chaatimes,200,3.8 out of 5,"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri",1,0
McDonald's,500,3.9 out of 5,"Burgers, Fries, Hot Chocolate",1,0
Domino's Pizza,800,3.9 out of 5,"Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos",1,0
Onesta,600,4.6 out of 5,"Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza",1,1
Hotboxit,400,3.8 out of 5,Prompt Service,0,0
Kitchen Garden,300,3.6 out of 5,Biryani,1,0
Recipe,450,4.0 out of 5,"Butter Chicken, Noodles, Thali, Biryani",1,0
Beijing Bites,850,3.7 out of 5,"Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice",1,0
Tasty Bytes,300,3.1 out of 5,"Paratha, Pasta",1,0
Corner House Ice Cream,400,4.3 out of 5,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse",0,0
Biryanis And More,750,4.0 out of 5,"Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani",1,0
Roving Feast,450,4.0 out of 5,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti",0,0
FreshMenu,450,3.9 out of 5,"Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza",1,0
Wamama,800,4.2 out of 5,"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll",1,1
Peppy Peppers,800,4.2 out of 5,"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup",0,0
Goa 0 Km,800,3.6 out of 5,"Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken",1,1
1947,850,4.0 out of 5,"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup",0,1
Kabab Magic,400,4.1 out of 5,"Grape Juice, Chicken Grill, Chicken Tikka Roll, Shawarma Roll, Chicken Shawarama, Biryani Combo, Rolls",1,0
Gustoes Beer House,"1,200",4.1 out of 5,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings",0,0
The Biryani Cafe,300,4.1 out of 5,"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani",0,0
Rolls On Wheels,300,3.6 out of 5,"Rolls, Momos, Fries, Veggie Roll, Chicken Kebab Roll, Paneer Roll, Cheese Roll",0,0
Sri Guru Kottureshwara Davangere Benne Dosa,150,4.1 out of 5,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",1,0
Upahar Sagar,350,3.8 out of 5,Masala Dosa,0,0
Frozen Bottle,400,4.2 out of 5,"Berryblast, Waffles, Cheesecake, Salted Caramel",1,0
Meghana Foods,600,4.4 out of 5,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita",1,0
Nandhini Deluxe,600,2.6 out of 5,"Biryani, Chicken Guntur, Thali, Buttermilk, Manchurian",0,0
Vi Ra's Bar and Restaurant,800,3.3 out of 5,Chilli Chicken,0,0
Chatar Patar,300,3.7 out of 5,"Panipuri, Chaat, Noodles, Dahi Bhalle",0,0
Polar Bear,400,3.8 out of 5,Hot Chocolate Fudge,1,0
Kidambi's Kitchen,300,3.5 out of 5,Rooftop Ambience,0,0
Mane Thindi,200,3.7 out of 5,"Coffee, Tea, Kesari Bath, Open Dosa, Vada, Idli, Bread Dosa",0,0
Floured-Baked With Love,400,3.8 out of 5,"Cup Cake, Chocolate Cake",0,0
Bengaluru Coffee House,300,4.1 out of 5,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli",1,0
Anna Kuteera,450,4.0 out of 5,"Panner Tikka, Kulfi, Coffee, Pav Bhaji, Carrot Halwa, Fried Rice, Set Dosa",1,0
Darbar,800,3.0 out of 5,"Paneer Tikka, Dal Kichadi, French Fries",0,0
Sri Udupi Food Hub,500,4.1 out of 5,"Filter Coffee, Masala Dosa, Idli, Vada",1,1
House Of Kebabs,650,3.8 out of 5,"Rolls, Shawarma, Butter Chicken, Mutton Biryani, Lahori Chicken, Chicken Roll, Grape Juice",1,0
Roll N Rock,400,3.8 out of 5,"Rolls, Paratha, Chicken Biryani",1,0
BOX8- Desi Meals,500,4.1 out of 5,"Paratha, Mughlai Chicken, Masala Lemonade, Butter Chicken, Rajma, Sandwich, Salad",1,0
KFC,450,3.8 out of 5,"Burgers, French Fries",1,0
Roll Over,500,4.1 out of 5,"Rolls, Ice Cream Roll, Paan Ice Cream, Coffee, Vanilla Ice Cream, Chocolate Icecreams, Mississippi Mudpie",1,0
Imperial Restaurant,750,3.7 out of 5,"Kadhai Paneer, Ghee Rice, Chicken Grill, Shawarma, Paratha, Biryani, Butter Chicken",1,0
Wahab,350,3.7 out of 5,"Chicken Biryani, Rolls",1,0
Canton,800,3.6 out of 5,"Roast Pork, Tai Pai Chicken, Beer, Sweet Corn Chicken Soup, Masala Peanuts, Chinese Chop Suey, Chicken Lollipop",1,0
The Blue Wagon - Kitchen,400,4.6 out of 5,"Pizza, Nachos, Garlic Maggi, Burgers, Cheese Maggi, Bruschetta Bites, Sandwich",1,0
Patio 805,"1,200",4.1 out of 5,"Noodles, Laksa Soup, Coffee, Veg Fritters, Vegetarian, Babycorn Manchurian, Mango Salad",1,1
Lassi Corner,150,3.7 out of 5,Lassi,1,0
Sagar Deluxe,300,3.2 out of 5,"Coffee, Chaat",1,0
Energy Addaa,500,4.2 out of 5,"Pizza, Nachos, Salads, Peri Peri Fries, Brownie, Pasta Alfredo, Spaghetti",1,0
Tandoori Knight,450,3.0 out of 5,"Chicken Grill, Biryani, Roti, Chicken Masala",1,0
Dev Sagar - Food Street,200,4.1 out of 5,"Chaat, Pav Bhaji, Dabeli, Vada Pav, Tawa Pulav, Panipuri, Malpua",1,0
Mitraa Da Pizza,250,3.8 out of 5,"Pizza, Burgers",1,0
Grazers,650,3.9 out of 5,"Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges",1,1
Shakes Theory,300,4.5 out of 5,"Sandwiches, Thick Shakes, Paan Shake, Brownie Bomb, Fries, Spinach Corn Sandwich, Paneer Peri Peri",1,0
@Italy,700,4.1 out of 5,"Pizza, Pasta, Spinach Salsa, Garlic Bread, Lasagne, Bruschettas, Chocolate Bomb",1,0
Old Mumbai Ice Cream,150,3.9 out of 5,Friendly Staff,1,0
Donne Biriyani House,400,3.9 out of 5,Biryani,1,0
Kedia's Fun Food,200,4.3 out of 5,"Paratha, Vada Pav, Chaat, Pav Bhaji, Panipuri, Masala Poori, Dhokla",1,0
Just Shawarma,300,3.9 out of 5,"Whole Meat Shawarma, Fries",1,0
Mini Punjabi Dhaba,350,4.2 out of 5,"Panneer Butter Masala, Lassi, Paratha, Jeera Rice, Paneer Parantha, Bhindi Fry, Veg Kolhapuri",1,0
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,500,4.1 out of 5,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",1,0
Gokul Veg,750,3.8 out of 5,"Masala Papad, Paneer Satay, Vegetable Biryani, Panneer Butter Masala, Tomato Soup, Manchow Soup, Roti",1,0
Olive - Era,550,3.3 out of 5,"Shawarma, Biryani, Bbq Chicken, Chicken Grill, Raita",1,0
Gama Gama,200,3.9 out of 5,"Jowar Roti, Buttermilk, Sabudana Vada, Thali, Mirchi Bajji, Brinjal Curry",1,0
The Vintage Cafe,400,3.0 out of 5,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea",1,0
Pizza Hut,750,3.8 out of 5,"Supreme Pizza, Potato Wedges, Masala Lemonade, Tandoori Paneer, Exotic Garlic Bread",1,0
Mangalore Pearl,650,3.8 out of 5,"Neer Dosa, Sea Food, Ghee Rice, Marwai Sukka, Egg Biryani, Kori Roti, Thai Fish",1,0
Twiststick House,500,4.1 out of 5,"White Pasta, Noodles, Babycorn Manchurian, Pizza, Veg Momos, Fry Momos, Tawa Pulav",1,0
Cool Corner,250,4.2 out of 5,"Masala Dosa, Sandwiches, Coffee, Onion Dosa, Rava Dosa, Chaat, Sandwich",1,0
Pizza Mane,150,3.5 out of 5,"French Fries, Burgers",1,0
Dal Tadkaa,500,2.5 out of 5,"Paratha, Boondi Raita, Roti, Kulfi, Panneer Butter Masala, Sweet Lassi, Dal Tadka",1,0
Chutney Chang,"1,500",4.1 out of 5,"Veg Momos, Brownie Chocolate, Palak Chaat, Mutton Biryani, Dahipuri, Fish, Sea Food",1,1
Mystique Palate,300,4.1 out of 5,"Noodles, Pasta, Schezwan Momos, Chicken Momo, Teriyaki Chicken, Thukpa, Fries",1,0
Thamboola,800,3.9 out of 5,"Spring Roll, Manchow Soup, Babycorn Manchurian, Mint Cooler, Roti, Panneer Butter Masala",1,0
Castle Rock,700,3.6 out of 5,Biryani,1,0
Vietnamese Kitchen,700,3.6 out of 5,"Pho, Papaya Salad, Coffee, Veg Momos, Rolls",1,0
Smacznego,550,4.2 out of 5,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos",1,0
Toscano,"1,300",4.3 out of 5,"Pizza, Pasta, Salads, Calamari, Ravioli, Pumpkin Soup, Wine",1,1
Stoned Monkey,500,4.3 out of 5,"Nachos, Cup Cake, Hot Chocolate Fudge, Salsa, Cheesy Garlic Bread, Waffles, Tiramisu",1,0
Central Jail Restaurant,700,3.8 out of 5,"Lime Soda, Manchow Soup, Biryani, Lemon Chicken, Tomato Soup, Butter Naan, Chilli Chicken",1,0
Bella,"1,000",3.9 out of 5,"Murgh Ghee Roast, Fish Fry, Ghee Roast Paneer, Neer Dosa, Appam, Sea Food, Chicken Sukha",1,1
New Prashanth Hotel,750,3.6 out of 5,"Ragi Mudde, Lemon Chicken, Chilli Chicken, Chicken Curry, Mutton Chops, Mutton Biryani",1,0
Karma Kaapi,250,4.4 out of 5,"Pasta, Potato Fries, Potato Wedges, Hot Chocolate, Chaat, Filter Coffee, Americano",1,0
Tiwari's,200,3.8 out of 5,"Sweet Lassi, Gulab Jamun, Palak Paneer Paratha, Paneer Parantha",1,0
Pizza Stop,600,3.8 out of 5,"Pizza, White Sauce Pasta, Masala Garlic Bread",1,0
Biggies Burger 'n' More,650,3.6 out of 5,"Burgers, Fries, Mojito, Chicken Burger",1,0
Srinathji's Cafe,550,3.8 out of 5,"Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda",0,0
Kollapuri's,450,3.9 out of 5,"Chicken Biryani, Mutton Biryani, Egg Biryani, Chicken Fry, Mutton Fry",0,0
RS Shiv Sagar,450,3.7 out of 5,"Chaat, Brownie, Onion Rings, Tomato Soup, Paneer Manchurian, Thali, Faluda",0,0
Harshi Super Sandwich,150,3.8 out of 5,"Sandwiches, Chocolate Sandwich, Chaat, Veg Cheese Sandwich, Chilli Cheese, Corn Sandwich",0,0
Ugadi,700,2.9 out of 5,"Prawn Biryani, Andhra Meal, Veg Thali, Fry Piece Biryani, Gongura Chicken, Paratha",1,0
Subway,600,3.7 out of 5,"Veggie Delight, Paneer Tikka, Salad",1,0
The Lassi Park,200,4.1 out of 5,"Faluda, Brownie, Sandwich, Kulfi, Fruit Salad, Sweet Lassi, Chocolate Fudge",1,0
A2B - Adyar Ananda Bhavan,400,3.8 out of 5,"Pav Bhaji, Masala Dosa, Idli Vada, Filter Coffee, Pongal, Curd Rice, Kesari Bath",1,0
Srikrishna Bhavan,300,3.8 out of 5,"Roti, Masala Dosa",1,0
Timepass Dinner,600,3.8 out of 5,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",1,0
Green Gardenia,700,3.8 out of 5,"Masala Papad, Paneer Satay, Paneer Hyderabadi, Butter Naan, Roti",1,0
J Spice,750,3.8 out of 5,"Stuffed Mushroom, Chicken Biryani, Jal-jeera",1,0
Hatti Kaapi,200,4.0 out of 5,"Filter Coffee, Tea, Hot Coffee, Hatti Samosa",1,0
Upahara Darshini,600,3.9 out of 5,Masala Dosa,1,0
The Chaat Shop,200,2.5 out of 5,"Badam Milk, Potato Twister, Pav Bhaji, Panipuri, Tikki Chaat, Cheese Cutlet",1,0
My Tea House,600,3.6 out of 5,"Pasta, Iced Tea",1,0
Samskruti - Sanman Gardenia,550,4.1 out of 5,"Roti, Butter Kulcha, Fried Rice, Tomato Soup, Curd Rice, Lunch Buffet, Paneer Tikka",1,0
Chumma Delicious,200,3.7 out of 5,Chicken Biryani,1,0
New Prashanth Hotel,650,3.9 out of 5,"Chicken Biryani, Ragi Mudde, Mutton Chops",1,0
Dwaraka Grand,500,3.9 out of 5,"Masala Dosa, Coffee",1,0
Gufha - The President Hotel,"1,200",4.1 out of 5,"Cocktails, Paneer Tikka, Rasmalai, Rabri, Masala Papad, Vegetable Biryani, Chicken Curry",1,1
Cafe Vivacity,650,3.8 out of 5,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",1,0
Mojo Pizza - 2X Toppings,600,4.2 out of 5,"Veggie Pizza, Garlic Bread, Lava Cake, Chocolava, Spicy Paneer",1,0
South Kitchen,100,4.3 out of 5,"Kharabath, Crispy Vada, Filter Coffee, Idli Vada, Idli Chutney, Kesari Bath, Gulab Jamun",1,0
Chung Wah,850,3.7 out of 5,"Noodles, Veg Momos, Chowmein, Schezwan Fried Rice, Clear Soup, Sweet Corn Soup, Chicken Wings",1,0
Prems Graama Bhojanam,400,4.3 out of 5,"Veg Thali, Matka Kulfi, Pongal, Buttermilk, Vada, Ragi Mudde, Curd Rice",1,0
Java City,450,2.6 out of 5,"Coffee, Sandwich, Hot Chocolate, Ice Tea, Sandwiches, Chicken Lasagne, Pizza",1,0
Kamat Bugle Rock,300,3.9 out of 5,"Jowar Roti, Buttermilk, Jolada Rotti, Brinjal Curry, Coffee, Pongal, Vegetable Biryani",1,0
Woodee Pizza,500,3.7 out of 5,"Pizza, Garlic Bread",1,0
Puliyogare Point,100,4.2 out of 5,"Sweet Pongal, Mini Idlis, Filter Coffee, Open Masala Dosa, Pakoda, Vada, Raagi Dosa",1,0
Bangalore Agarwal Bhavan,400,3.9 out of 5,"Paratha, Coffee, Halwa, Lassi",1,0
Rustic Stove,900,3.8 out of 5,"Vegetable Biryani, Pineapple Rasam, Cheese Garlic Naan, Potato Cheese Ball, Bamboo Chicken Biryani, Chicken Skewer, Fish",1,0
De Thaali,550,3.9 out of 5,"Malai Kofta, Sandwich, Naan",1,0
Spice Elephant,800,4.1 out of 5,"Momos, Lunch Buffet, Chocolate Nirvana, Thai Green Curry, Paneer Tikka, Dum Biryani, Chicken Biryani",1,0
Matru Sagar,250,3.6 out of 5,"Coffee, Masala Dosa",1,0
Sea Spice by 7 Star,"1,200",4.0 out of 5,"Sea Food, Neer Dosa, Anjal Masala Fry, Coconut Pudding, Chicken Biryani, Roti, Fish Curry",1,1
Desi Dawat,400,3.7 out of 5,"Tandoori Chicken, Rolls",1,0
Cafe Aira,500,4.1 out of 5,"Pasta, Nachos, Jalapeno Poppers, Burrito Bowl, Ferrero Rocher Shake, Falafal Sandwich, Banana Waffles",1,0
Penthouse Cafe,700,4.0 out of 5,"Pizza, Mocktails, Coffee, Nachos, Salad, Pasta, Sandwiches",1,0
Mast Punjabi,400,2.6 out of 5,Aloo Paratha,1,0
South Grand,400,3.4 out of 5,Rava Dosa,1,0
Catch-up-ino,800,3.9 out of 5,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi",1,0
The Pizzeria,800,2.8 out of 5,Pesto Pizza,1,0
Ruchis Point,200,3.8 out of 5,"Sandwiches, Noodles, Sandwich",1,0
Firangi Bake,600,4.0 out of 5,"Lasagne, Steak, Masala Quesadilla, Garlic Bread",1,0
The Royal Corner - Pai Viceroy,900,4.2 out of 5,"Breakfast Buffet, Kulcha, Almond Soup, Lunch Buffet, Roti, Mocktails, Vegetarian",1,1
Hara Fine Dine,800,4.0 out of 5,"Hara Bhara Kabab, Crispy Corn, Patiala Paneer, Panneer Butter Masala, Dum Biryani, Jal-jeera, Butter Naan",1,1
Chocoberry,400,3.5 out of 5,"Waffles, Cup Cake, Chocolate Cake",1,0
Waffle-A-Go Go,400,3.9 out of 5,Waffles,1,0
Cross Road Cafe,300,3.9 out of 5,"Momos, Burgers, Rolls, Sandwich, Hot Chocolate, Tea, Naga Thali",1,0
Bakers Town,650,3.8 out of 5,"Freak Shake, Fries, Pasta Alfredo",1,0
Ivy,600,3.8 out of 5,"Butter Chicken, Chicken Grill, Tandoori Chicken, Noodles, Biryani, Fried Rice Chicken",1,0
The Airos,650,4.1 out of 5,"Pizza, Pasta, Nachos, Burgers, Sandwich, Tea, Cheese Balls",1,0
Chai Kraft,100,4.1 out of 5,"Masala Chai, Coffee, Masala Tea, Maggi",1,0
Kirthi's Biryani,700,3.8 out of 5,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails",1,0
The Trundle,700,3.7 out of 5,"Salad, Mocktails, Chocolava, Pesto Pasta, Momos, Jasmine Rice, Tom Yum Soup",1,0
The Krishna Grand Xpress,350,4.0 out of 5,"Vada, Masala Dosa, Idli",1,0
Udupi Grand,300,3.8 out of 5,"Coffee, Masala Dosa, Vegetable Biryani",1,0
Little Cafe,600,3.7 out of 5,"Pasta, Pizza, Burgers, Pancakes, Garlic Bread",1,0
1980s Games Cafe,400,3.4 out of 5,"Maggi, Pasta, Burgers, Sandwiches, Fries",1,0
Kadala Tarangaa,600,3.6 out of 5,"Sea Food, Neer Dosa",1,0
As On Fire,400,3.5 out of 5,Pizza,1,0
Curry Leaves,800,4.1 out of 5,"Brownie, Mojito, Prawn Ghee Roast, Corn Tikki, Mushroom Ghee Roast, Pinacolada, Biryani",1,0
Magic Meals,400,3.7 out of 5,"Biryani, Thick Shakes, Fries",1,0
Desi Cream Junction,650,3.7 out of 5,Vegetarian,1,1
Eat Repeat,150,3.9 out of 5,"Sweet Pongal, Curd Rice",1,0
Salut,"1,200",4.1 out of 5,"Pesto Pizza, Buffalo Wings, Cocktails, Beer, Egg Ghee Roast, Brownie, Pepper Chicken",1,1
Sandwich Mama's And Frozen Monster,250,3.8 out of 5,"Waffles, Sandwiches, Maggi, Thick Shakes, Chocolate Sandwich",1,0
Food Springs,400,4.0 out of 5,"Honey Chilli Potatoes, Nachos, Lemonade, Hakka Noodles, Babycorn Manchurian, Mushroom Manchurian, Spring Roll",1,0
Chung's Chinese Corner,700,3.9 out of 5,"Manchow Soup, Momos, Wonton Soup, Chowmein, American Chopsuey, Chop Suey, Manchurian",1,0
Eurasia Pasta and Barbeque by Little Italy,"1,200",4.1 out of 5,"Pasta, Pizza, Nachos, Gelato, Ravioli, Jalapeno Poppers, Cocktails",1,1
Goli Vada Pav No. 1,200,3.7 out of 5,"Masala Vada Pav, Cheese Vada Pav, Fries",1,0
Ragoo's,800,3.9 out of 5,"Corn Augratin, Lasagne, Fries, Garlic Bread, Pili Pili Pizza, Mexican Rice, Ravioli",1,0
Pure & Natural,500,3.9 out of 5,"Salads, Sandwiches, Pasta, Mocktails, Corn Sandwich, Garden Salad, Miso Salad",1,0
Maiyas,200,4.0 out of 5,"Coffee, Thali, Kharabath, Masala Dosa, Idli Vada, Vanilla Ice Cream, Bisi Bele Bhaath",1,0
Sip n Dine,800,3.6 out of 5,"Veg Jaipuri, Neer Dosa, Kulcha, Pepper Chicken, Chilli Mushroom, Murgh Platter, Paneer Tikka",1,0
Cafe Mondo,600,3.7 out of 5,"Pizza, Pasta Alfredo, Brownie, Garlic Bread, Sandwiches, Lemon Mojito, Mocha Fudge",1,0
Jalpaan,900,4.0 out of 5,"Mocktails, Tomato Soup, Pasta, Nachos, Chaat, Potli Biryani, Lassi",1,1
Kataria's Pakwan,400,3.2 out of 5,"Paratha, Lassi, Manchurian, Thali",1,0
Juicy Momos,250,3.5 out of 5,"Rolls, Burgers, Juicy Momos, Chicken Momo, Chocolate Momos, Mushroom Momo, Paneer Momos",1,0
Amande Patisserie,300,4.0 out of 5,"Macaroon, Mousse, Caramel Eclair",1,0
Anand Sweets and Savouries,400,3.9 out of 5,"Dahi Papadi Chaat, Papdi Chaat, Bhel Puri, Paratha, Kachori, Thali, Masala Poori",1,0
Chicken Hunt,350,3.5 out of 5,Chicken Grill,1,0
Swadesh Tadka,600,3.5 out of 5,"Gulab Jamun, Roti, Masala Papad, Babycorn Manchurian, Paratha, Clear Soup, Biryani",1,0
Cane-O-La,100,3.8 out of 5,"Sugarcane Juice, Popcorn",1,0
New Biryani Mane,450,3.7 out of 5,"Egg Biryani, Tandoori Chicken, Fish, Rumali Roti",1,0
Upahara Darshini,400,3.8 out of 5,"Rava Dosa, Roti, Masala Dosa, Kulcha, Sandwiches, Vada Pav, Idli",1,0
Karnataka Bhel House,100,4.1 out of 5,"Masala Poori, Bhel Puri, Panipuri, Chaat, Dahipuri, Sev Puri, Dahi Aloo Puri",1,0
Sreeraj Lassi Bar,150,4.1 out of 5,"Faluda, Mango Lassi, Sweet Lassi, Fruit Salad, Shrikhand, Matka Kulfi, Pudina Lassi",1,0
Bunt's Biriyani Palace,400,3.0 out of 5,"Neer Dosa, Sea Food, Pepper Chicken",1,0
Chai Point,250,3.2 out of 5,"Ginger Chai, Ginger Tea, Banana Cake, Samosa, Masala Chai, Banana Walnut",1,0
Janahaar,100,3.8 out of 5,"Masala Dosa, Idli, Filter Coffee, Medu Dosa",1,0
Redberrys,600,4.0 out of 5,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam",1,0
Utsav,200,3.7 out of 5,"Paratha, Kachori, Tea, Lassi, Samosa, Vada Pav",1,0
The Spice Saga,750,3.7 out of 5,"Biryani, Chicken Grill, Butter Chicken",1,0
Jalsa,800,4.1 out of 5,"Pasta, Lunch Buffet, Masala Papad, Paneer Lajawab, Tomato Shorba, Dum Biryani, Sweet Corn Soup",1,1
Subz,"1,000",4.2 out of 5,"Veg Buffet, Pasta, Salads, Rasmalai, Chaat, Biryani, Fries",1,1
Cafe Shuffle,600,4.2 out of 5,"Mocktails, Peri Fries, Lasagne, Pizza, Chicken Bbq Wings, Virgin Mojito, Nachos",1,1
Mint and Mustard,750,4.0 out of 5,"Paneer Tikka, Masala Papad, Garlic Naan",1,0
Punjabi Raswada,800,3.5 out of 5,"Gajar Ka Halwa, Lassi, Jeera Rice, Shahi Paneer, Shikanji, Makke Ki Roti, Kofta Curry",1,1
Vinny's,800,4.2 out of 5,"Pizza, Pasta, Garlic Bread, Nachos, Penne Alfredo, Mozzarella Sticks, Salad",1,1
Sukh Sagar,450,3.8 out of 5,"Pav Bhaji, Chaat, Sandwiches, Coffee, Noodles, Masala Dosa, Roti",1,0
Andhra Ruchulu,"1,000",4.1 out of 5,"Andhra Meal, Mutton Biryani, Chicken Sholay, Chicken Biryani, Chicken Guntur, Andhra Thali, Guava Ice Cream",1,1
