GENDER,AGE,EDUCATION,JOBROLE,DEPARTMENT,DISTANCEFROMHOME (KM),ATTRITION,BUSINESSTRAVEL,MONTHLYRATE,PERFORMANCERATING,TOTALWORKINGYEARS,YEARSATCOMPANY,YEARSINCURRENTROLE,YEARSSINCELASTPROMOTION,YEARSWITHCURRMANAGER
Male,31,4,Research Scientist,Research & Development,1,0,Rarely,18775,3,1,1,1,1,0
Male,32,3,Research Scientist,Research & Development,1,0,Rarely,7346,3,10,10,4,0,9
Female,36,3,Laboratory Technician,Research & Development,6,0,Rarely,22002,3,5,1,0,0,0
Female,31,4,Manufacturing Director,Research & Development,8,0,Rarely,20682,4,11,11,7,1,8
Male,35,4,Sales Executive,Sales,1,0,Rarely,23016,3,16,15,13,2,8
Male,45,4,Research Director,Research & Development,6,0,Rarely,15067,3,17,0,0,0,0
Male,37,4,Research Director,Research & Development,7,0,Rarely,25258,3,16,5,2,0,2
Male,46,2,Human Resources,Human Resources,5,0,Rarely,10425,4,16,4,2,0,2
Male,30,1,Laboratory Technician,Research & Development,1,0,Rarely,15998,3,10,10,8,3,0
Male,35,3,Research Scientist,Research & Development,1,0,Rarely,26278,3,6,6,4,0,4
Male,55,2,Sales Executive,Sales,1,0,Rarely,18092,3,24,1,0,1,0
Female,38,3,Research Scientist,Research & Development,6,0,Non-Travel,15717,3,17,13,11,1,9
Male,34,2,Manufacturing Director,Research & Development,1,0,Rarely,17736,3,5,5,2,1,3
Male,56,3,Manufacturing Director,Research & Development,7,0,Rarely,21698,3,37,6,4,0,2
Male,23,1,Sales Representative,Sales,2,0,Rarely,9518,3,3,0,0,0,0
Male,51,4,Laboratory Technician,Research & Development,9,0,Rarely,18725,4,10,4,2,0,3
Male,30,3,Healthcare Representative,Research & Development,2,0,Rarely,15830,3,11,11,10,10,8
Male,46,2,Sales Executive,Sales,9,1,Rarely,13596,3,9,9,8,4,7
Male,40,4,Healthcare Representative,Research & Development,1,0,Frequently,14115,4,22,22,3,11,11
Male,51,4,Sales Executive,Sales,21,0,Rarely,8423,4,11,10,7,1,0
Female,30,2,Sales Executive,Sales,4,0,Rarely,19760,3,11,11,8,2,7
Male,46,3,Healthcare Representative,Research & Development,1,0,Frequently,3142,3,21,10,9,9,5
Male,32,4,Sales Executive,Sales,6,0,Rarely,24301,3,12,11,8,5,7
Female,54,4,Research Director,Research & Development,2,0,Rarely,24001,3,16,4,3,0,3
Female,24,2,Sales Executive,Sales,3,0,Rarely,17519,4,4,3,2,0,2
Male,28,3,Sales Executive,Sales,4,0,Non-Travel,8863,3,5,5,4,0,4
Male,58,4,Sales Executive,Sales,10,0,Rarely,24409,3,38,37,10,1,8
Male,44,3,Laboratory Technician,Research & Development,23,0,Non-Travel,25043,3,17,3,2,1,2
Male,37,4,Human Resources,Human Resources,6,1,Rarely,23648,4,7,3,2,0,2
Male,32,1,Research Scientist,Research & Development,1,0,Rarely,15178,3,1,1,0,0,0
Female,20,3,Laboratory Technician,Research & Development,6,1,Frequently,19783,3,1,1,0,1,0
Female,34,4,Research Scientist,Research & Development,6,0,Rarely,12482,3,16,16,13,2,10
Male,37,2,Healthcare Representative,Research & Development,2,0,Non-Travel,15850,3,17,1,0,0,0
Female,59,4,Manager,Human Resources,2,0,Non-Travel,21922,4,30,3,2,2,2
Female,50,3,Research Director,Research & Development,1,0,Frequently,9755,3,28,8,3,0,7
Male,25,3,Sales Executive,Sales,5,1,Rarely,26959,3,6,6,4,0,3
Male,25,1,Research Scientist,Research & Development,7,0,Rarely,26897,3,2,2,2,2,1
Female,22,3,Laboratory Technician,Research & Development,15,0,Rarely,23785,3,1,0,0,0,0
Female,51,4,Healthcare Representative,Research & Development,1,0,Frequently,25796,4,23,13,12,12,8
Male,34,3,Laboratory Technician,Research & Development,7,1,Frequently,22887,4,9,9,7,0,6
Female,54,3,Manager,Human Resources,26,0,Non-Travel,13871,3,23,5,3,4,4
Male,24,1,Laboratory Technician,Research & Development,18,0,Rarely,13257,3,6,5,3,1,2
Female,34,4,Research Scientist,Research & Development,6,0,Rarely,15000,3,12,1,0,0,0
Male,37,3,Sales Executive,Sales,3,0,Rarely,14506,3,12,5,3,1,3
Female,34,3,Manager,Research & Development,5,0,Rarely,5615,3,14,11,10,5,8
Female,36,2,Sales Executive,Sales,11,0,Frequently,22952,3,10,9,7,2,8
Female,36,2,Laboratory Technician,Research & Development,3,0,Rarely,2561,4,7,1,0,0,0
Male,43,2,Manager,Sales,26,0,Frequently,19494,3,25,25,12,4,12
Male,30,3,Research Scientist,Research & Development,23,0,Frequently,22310,4,10,10,7,0,9
Male,33,2,Sales Executive,Sales,22,0,Non-Travel,15480,3,8,7,7,0,7
Female,56,4,Research Scientist,Research & Development,14,1,Rarely,4510,3,7,5,4,4,3
Male,51,3,Research Director,Research & Development,6,0,Rarely,6462,3,23,20,18,15,15
Male,31,4,Sales Executive,Sales,6,1,Rarely,20739,3,12,7,7,7,7
Female,26,3,Research Scientist,Research & Development,6,0,Rarely,23300,3,5,5,4,4,3
Female,58,4,Healthcare Representative,Research & Development,23,1,Rarely,3465,3,40,40,10,15,6
Male,19,1,Sales Representative,Sales,22,1,Rarely,26820,3,0,0,0,0,0
Male,22,1,Laboratory Technician,Research & Development,2,0,Rarely,19299,3,3,2,1,2,1
Female,49,4,Manufacturing Director,Research & Development,20,0,Rarely,5549,3,16,15,11,5,11
Female,43,3,Research Scientist,Research & Development,28,0,Frequently,16090,3,18,3,2,1,2
Female,50,3,Sales Executive,Sales,12,0,Frequently,6645,3,16,2,2,2,1
Female,31,3,Sales Executive,Sales,20,1,Rarely,24788,3,4,2,2,2,2
Male,41,1,Sales Executive,Sales,9,0,Rarely,21196,3,12,9,7,0,7
Female,26,1,Human Resources,Human Resources,25,0,Rarely,8916,4,8,8,7,5,7
Male,36,2,Manufacturing Director,Research & Development,6,0,Rarely,2819,4,7,3,2,0,1
Male,51,4,Manufacturing Director,Research & Development,8,1,Frequently,25150,3,18,4,2,0,3
Female,39,4,Sales Executive,Sales,4,0,Rarely,14590,3,17,15,11,5,9
Male,25,3,Sales Executive,Sales,28,0,Rarely,24835,3,6,2,2,2,2
Male,30,3,Human Resources,Human Resources,9,0,Rarely,13982,3,12,11,9,4,7
Female,32,3,Laboratory Technician,Research & Development,9,1,Rarely,10224,4,10,5,4,0,4
Male,45,3,Research Scientist,Research & Development,29,0,Rarely,9752,3,9,6,5,0,3
Female,38,5,Research Scientist,Research & Development,3,0,Rarely,2302,4,19,3,2,2,2
Female,30,3,Research Scientist,Research & Development,18,0,Rarely,23910,3,5,5,4,0,4
Male,32,2,Sales Executive,Sales,9,0,Frequently,22812,3,9,8,7,0,7
Female,30,3,Research Scientist,Research & Development,5,0,Rarely,10415,3,8,3,2,2,2
Male,30,1,Laboratory Technician,Research & Development,2,0,Rarely,11162,3,6,5,3,1,2
Male,41,3,Manager,Research & Development,10,0,Frequently,12888,3,21,7,6,7,7
Male,41,4,Laboratory Technician,Research & Development,9,0,Rarely,6961,4,7,5,0,1,4
Female,19,1,Laboratory Technician,Research & Development,3,0,Rarely,16102,3,1,1,0,0,0
Female,40,3,Research Scientist,Research & Development,26,0,Frequently,8504,3,20,20,7,2,13
Male,35,5,Sales Executive,Sales,1,0,Rarely,11439,3,10,10,8,0,6
Male,53,2,Sales Representative,Sales,6,0,Rarely,16047,4,13,7,7,4,5
Male,45,3,Laboratory Technician,Research & Development,9,0,Rarely,10901,3,20,17,9,0,15
Female,32,3,Sales Executive,Sales,8,0,Frequently,15589,3,9,9,8,3,7
Male,29,1,Manufacturing Director,Research & Development,1,0,Non-Travel,26283,3,10,10,7,0,9
Male,51,4,Manufacturing Director,Research & Development,7,0,Rarely,13983,3,10,1,0,0,0
Female,58,3,Research Scientist,Research & Development,9,0,Rarely,11873,4,9,1,0,0,0
Male,40,4,Sales Executive,Sales,4,0,Rarely,8552,3,15,12,11,2,11
Female,34,4,Sales Representative,Sales,2,0,Frequently,11314,3,6,4,3,1,2
Male,22,1,Research Scientist,Research & Development,19,0,Rarely,11992,4,2,2,2,2,2
Male,27,3,Research Scientist,Research & Development,9,0,Non-Travel,5970,3,6,2,2,2,2
Male,28,3,Research Scientist,Research & Development,21,0,Rarely,6672,3,5,5,2,0,2
Male,57,2,Healthcare Representative,Research & Development,24,0,Rarely,23402,3,12,5,3,1,4
Male,27,3,Research Scientist,Research & Development,3,0,Non-Travel,25326,3,1,1,1,0,1
Female,50,3,Manager,Research & Development,11,0,Rarely,17053,3,21,5,4,4,4
Male,41,3,Research Scientist,Research & Development,14,0,Rarely,4609,3,13,9,8,1,8
Female,30,3,Sales Executive,Sales,5,0,Rarely,8053,3,12,10,9,7,4
Female,38,4,Sales Executive,Sales,1,0,Rarely,12930,4,12,8,3,0,7
Male,32,5,Research Scientist,Research & Development,6,0,Rarely,12430,4,8,5,4,1,4
Male,27,3,Research Scientist,Research & Development,17,0,Rarely,13364,3,6,5,2,1,1
Female,19,1,Sales Representative,Sales,1,1,Frequently,20989,4,1,0,0,0,0
Male,36,2,Laboratory Technician,Research & Development,3,0,Frequently,15062,3,13,8,7,7,2
Male,30,3,Laboratory Technician,Research & Development,9,0,Non-Travel,11012,3,12,12,9,6,10
Female,45,2,Sales Executive,Sales,4,0,Rarely,6319,3,9,5,4,0,3
Female,56,3,Research Scientist,Research & Development,8,0,Rarely,13939,3,19,2,2,2,2
Male,33,3,Research Scientist,Research & Development,2,0,Rarely,10515,3,4,3,1,0,2
Male,19,3,Laboratory Technician,Research & Development,2,1,Rarely,9241,4,1,1,0,1,0
Female,46,2,Sales Executive,Sales,1,0,Rarely,2137,4,24,24,13,15,7
Female,38,2,Laboratory Technician,Research & Development,9,0,Rarely,6319,3,2,2,2,2,1
Female,31,1,Research Scientist,Research & Development,12,0,Rarely,6984,4,7,4,2,0,2
Female,34,2,Research Scientist,Research & Development,27,0,Rarely,5711,3,9,3,2,1,2
Female,41,2,Sales Representative,Sales,20,1,Rarely,21728,4,4,4,3,0,2
Male,50,3,Laboratory Technician,Research & Development,1,0,Rarely,3425,3,5,3,2,0,2
Female,53,2,Manufacturing Director,Research & Development,13,0,Rarely,26250,3,5,4,2,1,3
Female,33,3,Research Scientist,Research & Development,14,0,Rarely,4673,3,8,8,7,1,6
Female,40,1,Manager,Research & Development,4,0,Rarely,6499,3,21,20,8,9,9
Male,55,4,Research Director,Research & Development,14,0,Rarely,13339,3,36,24,15,2,15
Male,34,1,Manufacturing Director,Research & Development,2,0,Frequently,14074,3,10,10,9,1,9
Female,51,3,Healthcare Representative,Research & Development,3,0,Rarely,7192,3,21,7,7,1,0
Male,52,4,Manager,Research & Development,1,0,Rarely,5678,3,34,33,18,11,9
Female,27,3,Research Scientist,Research & Development,9,0,Rarely,11781,3,7,7,7,0,3
Male,35,2,Manufacturing Director,Research & Development,23,1,Rarely,15497,3,8,1,0,0,1
Male,43,3,Research Scientist,Research & Development,7,0,Non-Travel,5228,3,7,5,4,2,2
Male,45,2,Manager,Research & Development,2,0,Non-Travel,20462,4,22,20,8,11,8
Male,37,3,Research Scientist,Research & Development,21,0,Rarely,22977,3,8,8,7,1,7
Female,35,3,Laboratory Technician,Research & Development,2,0,Frequently,15986,3,10,6,2,1,2
Female,42,2,Manufacturing Director,Research & Development,21,0,Non-Travel,16439,3,11,5,3,0,2
Male,38,4,Manufacturing Director,Research & Development,2,0,Rarely,7259,3,14,1,0,0,0
Male,38,3,Manufacturing Director,Research & Development,29,0,Rarely,4185,3,9,7,7,1,7
Male,27,1,Manufacturing Director,Research & Development,1,0,Frequently,9679,3,6,2,2,2,0
Male,49,4,Manufacturing Director,Research & Development,18,0,Non-Travel,23793,3,7,7,7,1,7
Male,34,4,Research Scientist,Research & Development,10,0,Frequently,5972,3,5,5,3,2,0
Male,40,2,Laboratory Technician,Research & Development,19,0,Rarely,16523,3,15,7,2,3,7
Male,38,1,Healthcare Representative,Research & Development,29,1,Rarely,11354,3,17,1,0,0,0
Female,29,3,Sales Executive,Sales,27,1,Rarely,24525,4,10,10,4,1,9
Male,22,3,Research Scientist,Research & Development,5,0,Rarely,12392,3,4,4,2,2,2
Female,36,1,Laboratory Technician,Research & Development,18,0,Frequently,7703,3,8,8,1,1,7
Male,40,5,Healthcare Representative,Research & Development,9,0,Non-Travel,14242,3,5,3,2,0,2
Male,46,4,Healthcare Representative,Research & Development,1,0,Rarely,12368,3,17,4,2,0,3
Male,32,4,Sales Executive,Sales,4,1,Rarely,25812,3,14,14,8,9,8
Male,30,1,Manufacturing Director,Research & Development,1,0,Non-Travel,20925,4,12,11,8,5,8
Female,27,3,Sales Executive,Sales,20,0,Frequently,12916,3,7,7,7,0,7
Male,51,4,Research Director,Research & Development,8,0,Rarely,15736,3,16,10,9,4,7
Female,30,3,Research Scientist,Research & Development,3,1,Rarely,8556,3,8,5,2,0,4
Female,41,3,Manager,Sales,6,0,Rarely,14674,3,16,1,0,0,0
Female,30,4,Sales Executive,Sales,26,1,Frequently,22967,3,9,6,3,0,1
Male,29,3,Research Scientist,Research & Development,1,1,Rarely,19757,3,7,6,2,1,5
Female,45,3,Sales Executive,Sales,6,0,Non-Travel,16840,3,23,19,7,12,8
Female,54,3,Sales Executive,Sales,3,0,Rarely,17011,3,16,6,2,0,5
Male,36,2,Laboratory Technician,Research & Development,5,0,Rarely,9945,3,16,13,11,3,7
Female,33,4,Research Scientist,Research & Development,4,0,Rarely,13248,4,7,3,2,1,1
Male,37,3,Research Director,Research & Development,11,0,Frequently,10056,3,10,10,8,0,7
Male,38,3,Sales Executive,Sales,3,0,Rarely,9647,3,17,16,10,5,13
Male,31,4,Manufacturing Director,Research & Development,1,0,Non-Travel,4381,3,6,5,4,1,4
Male,59,3,Research Scientist,Research & Development,3,0,Rarely,8456,3,7,1,0,0,0
Male,37,4,Sales Representative,Sales,4,0,Frequently,2539,3,13,9,8,5,8
Female,29,1,Sales Executive,Sales,1,0,Frequently,6599,3,11,11,10,4,1
Female,35,3,Sales Executive,Sales,1,0,Frequently,9096,3,10,10,7,0,8
Male,29,1,Research Scientist,Research & Development,18,1,Rarely,14961,3,4,4,3,0,1
Female,52,3,Laboratory Technician,Research & Development,2,0,Rarely,3300,3,6,2,2,2,2
Male,42,2,Manager,Research & Development,4,0,Rarely,4933,3,22,22,17,11,15
Male,59,2,Human Resources,Human Resources,6,0,Rarely,25657,3,7,2,2,2,2
Female,50,4,Manager,Sales,1,0,Rarely,24118,3,32,7,0,0,6
Male,33,3,Laboratory Technician,Research & Development,14,1,Rarely,22149,3,8,5,4,0,4
Female,43,3,Manager,Sales,16,0,Rarely,7744,4,22,17,13,1,9
Female,33,2,Laboratory Technician,Research & Development,2,1,Rarely,21509,4,13,9,7,1,7
Male,52,4,Manager,Sales,2,0,Non-Travel,21030,3,33,33,7,15,12
Female,32,2,Sales Representative,Sales,4,0,Rarely,20990,3,6,4,3,1,2
Male,32,3,Laboratory Technician,Research & Development,1,1,Rarely,9571,3,4,3,2,1,2
Female,39,4,Laboratory Technician,Research & Development,1,0,Rarely,15417,3,7,3,2,1,2
Male,32,4,Sales Executive,Sales,26,0,Non-Travel,12069,3,4,3,2,2,2
Male,41,2,Research Scientist,Research & Development,19,0,Rarely,19877,3,17,1,0,0,0
Male,40,2,Research Scientist,Research & Development,24,0,Rarely,24447,3,9,9,8,4,7
Male,45,3,Manager,Research & Development,1,0,Rarely,15970,3,25,24,0,1,7
Male,31,4,Research Director,Research & Development,3,0,Frequently,13523,3,9,2,2,2,2
Female,33,4,Research Scientist,Research & Development,5,0,Rarely,14776,3,2,2,2,0,2
Male,34,4,Manufacturing Director,Research & Development,2,0,Rarely,23687,3,13,11,9,5,9
Female,37,2,Research Scientist,Research & Development,1,0,Rarely,18697,3,17,3,1,0,2
Male,45,4,Manufacturing Director,Research & Development,7,0,Frequently,5118,3,9,3,2,0,2
Male,37,3,Manufacturing Director,Research & Development,10,1,Frequently,22573,3,17,1,0,0,0
Female,39,4,Healthcare Representative,Research & Development,2,0,Frequently,6420,4,20,19,6,11,8
Male,29,3,Research Scientist,Research & Development,15,0,Rarely,22673,3,6,6,5,1,5
Female,42,2,Research Scientist,Research & Development,17,0,Rarely,23016,3,10,3,2,0,2
Male,29,2,Sales Executive,Sales,20,0,Rarely,10732,3,10,3,2,0,2
Female,25,3,Manufacturing Director,Research & Development,1,0,Rarely,7505,3,5,4,2,1,2
Female,42,3,Laboratory Technician,Research & Development,2,0,Rarely,8007,3,10,9,6,7,8
Male,40,2,Research Director,Research & Development,2,0,Rarely,5949,3,22,21,7,3,9
Male,51,3,Research Scientist,Research & Development,1,0,Rarely,23231,3,1,1,0,0,0
Male,31,2,Laboratory Technician,Research & Development,29,1,Frequently,11652,3,6,5,4,1,4
Male,32,3,Laboratory Technician,Research & Development,7,0,Frequently,26062,4,5,5,1,0,3
Male,38,2,Sales Executive,Sales,2,0,Non-Travel,19682,3,13,8,7,7,5
Male,32,1,Laboratory Technician,Research & Development,2,0,Rarely,19737,3,9,6,2,0,4
Female,46,3,Manager,Sales,2,0,Rarely,14977,3,28,7,7,7,7
Male,28,4,Laboratory Technician,Research & Development,2,1,Rarely,14935,3,5,0,0,0,0
Male,29,3,Sales Executive,Sales,2,0,Rarely,3687,3,10,0,0,0,0
Male,31,3,Healthcare Representative,Research & Development,23,0,Rarely,14408,4,10,9,0,7,8
Male,25,2,Healthcare Representative,Research & Development,5,0,Non-Travel,18384,3,6,6,3,1,5
Male,45,2,Healthcare Representative,Research & Development,20,0,Rarely,7501,3,21,20,7,4,10
Male,36,3,Laboratory Technician,Research & Development,6,0,Rarely,20251,3,16,15,13,10,11
Male,55,3,Manager,Research & Development,1,0,Rarely,18938,3,37,36,10,4,13
Male,47,4,Manager,Research & Development,29,1,Non-Travel,10268,3,10,10,7,9,9
Male,28,3,Research Scientist,Research & Development,9,0,Rarely,2613,4,5,5,2,0,4
Male,37,4,Sales Executive,Sales,6,0,Rarely,22825,3,7,5,4,0,1
Male,21,2,Research Scientist,Research & Development,3,0,Rarely,10531,3,3,3,2,1,0
Female,37,4,Research Director,Research & Development,1,0,Non-Travel,11677,3,15,5,2,0,2
Female,35,3,Manager,Research & Development,22,0,Rarely,19100,3,10,7,7,6,2
Female,38,2,Sales Executive,Sales,7,0,Rarely,19191,4,8,8,0,7,7
Female,26,3,Manufacturing Director,Research & Development,1,0,Frequently,26767,4,6,6,5,1,4
Male,50,1,Research Director,Research & Development,4,0,Rarely,15815,3,28,10,4,1,6
Male,53,4,Research Director,Research & Development,3,0,Rarely,21016,3,21,5,3,1,3
Male,42,1,Sales Executive,Sales,1,0,Rarely,24532,4,20,20,16,11,6
Male,29,2,Sales Executive,Sales,2,0,Frequently,20260,3,10,10,7,0,9
Male,55,2,Laboratory Technician,Research & Development,20,0,Rarely,15972,3,12,10,7,0,8
Male,26,2,Healthcare Representative,Research & Development,11,0,Frequently,22722,3,5,5,3,3,3
Female,37,3,Research Scientist,Research & Development,1,0,Rarely,15881,3,17,17,12,5,7
Male,44,3,Laboratory Technician,Research & Development,24,1,Frequently,19920,4,19,1,0,0,0
Male,38,4,Healthcare Representative,Research & Development,23,0,Rarely,18899,3,10,2,2,1,2
Male,26,4,Laboratory Technician,Research & Development,16,1,Rarely,14180,3,5,3,2,0,2
Female,28,2,Research Scientist,Research & Development,8,0,Rarely,4488,4,5,5,3,0,2
Female,49,4,Research Director,Research & Development,10,0,Frequently,25594,3,22,3,2,1,2
Male,36,3,Research Scientist,Research & Development,3,0,Rarely,26285,3,10,8,0,7,7
Female,31,3,Sales Representative,Sales,5,0,Frequently,3909,3,2,2,2,2,2
Male,26,4,Sales Executive,Sales,4,1,Rarely,8450,3,8,8,7,7,4
Male,37,3,Research Scientist,Research & Development,9,0,Frequently,11411,3,4,4,2,1,2
Female,42,3,Sales Executive,Sales,26,0,Frequently,14864,3,23,20,4,4,8
Male,18,3,Laboratory Technician,Research & Development,3,1,Rarely,25233,3,0,0,0,0,0
Male,35,3,Sales Executive,Sales,16,0,Rarely,5100,3,12,11,9,6,9
Male,36,4,Laboratory Technician,Research & Development,18,0,Frequently,7122,3,4,1,0,0,0
Male,51,3,Manufacturing Director,Research & Development,2,0,Rarely,16321,3,13,4,1,1,2
Male,41,4,Manager,Sales,2,0,Rarely,15896,3,22,22,10,0,4
Female,18,3,Sales Representative,Sales,10,0,Rarely,9724,3,0,0,0,0,0
Male,28,2,Healthcare Representative,Research & Development,16,0,Rarely,4824,3,9,8,3,0,7
Male,31,3,Sales Executive,Sales,7,0,Rarely,12241,3,10,8,7,7,7
Male,39,3,Healthcare Representative,Research & Development,1,0,Rarely,10942,3,19,18,10,3,7
Female,36,4,Laboratory Technician,Research & Development,24,0,Non-Travel,6927,3,11,9,8,0,8
Male,32,3,Sales Executive,Sales,7,0,Rarely,16985,3,13,13,8,4,8
Female,38,2,Research Director,Research & Development,25,0,Rarely,26707,3,19,10,8,0,1
Male,58,4,Healthcare Representative,Research & Development,1,0,Non-Travel,17056,3,12,5,3,1,2
Male,31,4,Research Scientist,Research & Development,5,0,Rarely,10077,3,6,5,2,0,3
